ST,Genome_Count,Unique_Species_Names_Count
2,10,3
9,1,1
11,2,1
12,5,1
16,2,1
17,2,1
18,3,2
20,1,1
24,1,1
25,1,1
29,1,1
32,2,1
38,1,1
39,2,1
45,3,1
47,1,1
49,1,1
51,2,1
52,1,1
55,1,1
56,2,1
58,1,1
59,1,1
60,1,1
66,1,1
67,1,1
69,1,1
78,2,1
82,1,1
85,1,1
91,2,1
92,1,1
93,1,1
94,1,1
95,1,1
98,2,2
99,2,1
103,1,1
105,1,1
107,1,1
110,1,1
120,1,1
123,1,1
124,2,1
125,2,1
128,1,1
129,1,1
138,1,1
143,1,1
144,2,1
146,1,1
148,1,1
150,2,1
152,1,1
155,1,1
156,4,1
157,1,1
160,7,2
162,3,2
167,27,1
168,9,2
173,2,2
174,1,1
180,1,1
181,1,1
182,1,1
183,1,1
184,1,1
185,2,2
186,1,1
190,1,1
191,1,1
193,1,1
194,2,2
195,1,1
202,1,1
204,1,1
206,3,1
220,2,1
226,2,1
227,1,1
230,2,1
231,2,2
232,1,1
233,1,1
234,1,1
236,1,1
238,1,1
239,1,1
240,1,1
241,8,1
242,4,2
243,1,1
244,1,1
245,1,1
246,1,1
247,1,1
248,1,1
249,22,3
250,1,1
251,1,1
252,1,1
253,2,1
254,2,2
255,2,1
256,4,2
257,1,1
258,1,1
259,1,1
260,2,1
261,1,1
262,1,1
263,2,1
264,1,1
265,1,1
266,5,2
267,1,1
268,1,1
269,1,1
270,1,1
271,1,1
272,1,1
273,1,1
274,1,1
275,1,1
276,1,1
277,1,1
278,1,1
279,1,1
280,5,2
281,1,1
282,2,2
283,1,1
284,2,1
285,2,1
286,3,3
287,2,1
288,1,1
289,1,1
290,2,1
291,1,1
292,1,1
293,1,1
294,1,1
295,1,1
296,1,1
297,1,1
298,1,1
299,1,1
300,1,1
301,1,1
302,1,1
303,1,1
304,1,1
305,1,1
306,1,1
307,1,1
308,1,1
309,1,1
310,1,1
311,1,1
312,1,1
313,1,1
314,1,1
315,1,1
316,1,1
317,1,1
318,1,1
319,1,1
320,2,2
321,1,1
322,1,1
323,2,2
324,1,1
325,1,1
326,2,1
327,3,1
328,1,1
329,1,1
330,1,1
331,1,1
332,1,1
333,1,1
334,1,1
335,1,1
336,1,1
337,1,1
338,1,1
339,1,1
340,1,1
341,1,1
342,1,1
343,1,1
344,3,1
345,1,1
346,1,1
347,1,1
348,1,1
349,1,1
350,1,1
351,1,1
352,1,1
353,1,1
354,1,1
355,6,1
356,1,1
357,1,1
358,1,1
359,1,1
360,1,1
361,1,1
362,3,1
363,1,1
364,1,1
365,2,1
366,1,1
367,1,1
368,1,1
369,1,1
370,1,1
371,1,1
372,1,1
373,1,1
374,1,1
375,1,1
376,2,1
377,2,1
378,1,1
379,1,1
380,1,1
381,1,1
382,1,1
383,1,1
384,2,1
385,1,1
386,1,1
387,1,1
388,1,1
389,1,1
390,1,1
391,1,1
392,1,1
393,7,2
394,1,1
395,1,1
396,1,1
397,2,1
398,1,1
399,1,1
400,2,1
401,1,1
402,3,1
403,1,1
404,1,1
405,1,1
406,1,1
407,1,1
408,1,1
409,1,1
410,1,1
411,1,1
412,1,1
413,1,1
414,1,1
415,1,1
416,1,1
417,2,1
418,1,1
419,1,1
420,1,1
421,1,1
422,1,1
423,1,1
424,1,1
425,1,1
426,1,1
427,1,1
428,1,1
429,1,1
430,1,1
431,1,1
432,2,2
433,1,1
434,1,1
435,1,1
436,1,1
437,1,1
438,1,1
439,1,1
440,1,1
441,1,1
442,1,1
443,1,1
444,1,1
445,1,1
446,1,1
447,4,2
448,1,1
449,2,1
450,1,1
451,1,1
452,1,1
453,1,1
454,1,1
455,1,1
456,1,1
457,1,1
458,1,1
459,1,1
460,1,1
461,1,1
462,1,1
463,1,1
464,1,1
465,3,1
466,4,1
467,1,1
468,1,1
469,1,1
470,1,1
471,1,1
472,1,1
473,1,1
474,2,1
475,1,1
476,1,1
477,1,1
478,1,1
479,2,1
480,1,1
481,1,1
482,2,1
483,1,1
484,1,1
485,1,1
486,1,1
487,1,1
488,1,1
489,1,1
490,1,1
491,1,1
492,1,1
493,1,1
494,1,1
495,1,1
496,1,1
497,1,1
498,1,1
499,1,1
500,1,1
501,1,1
502,1,1
503,1,1
504,1,1
505,1,1
506,1,1
507,1,1
508,1,1
509,1,1
510,1,1
511,1,1
512,1,1
513,1,1
514,1,1
515,2,1
516,1,1
517,1,1
518,1,1
519,1,1
520,1,1
521,1,1
522,1,1
523,1,1
524,1,1
525,1,1
526,1,1
527,1,1
528,1,1
529,1,1
530,1,1
531,1,1
532,1,1
533,1,1
534,1,1
535,1,1
536,1,1
537,1,1
538,1,1
539,1,1
540,1,1
541,1,1
542,1,1
543,1,1
544,1,1
545,1,1
546,1,1
547,2,1
548,1,1
549,1,1
550,1,1
551,1,1
552,1,1
553,1,1
554,1,1
555,1,1
556,1,1
557,1,1
558,1,1
559,1,1
560,1,1
561,1,1
562,1,1
563,1,1
564,1,1
565,1,1
566,1,1
567,1,1
568,1,1
569,1,1
570,1,1
571,1,1
572,1,1
573,1,1
574,1,1
575,1,1
576,1,1
577,1,1
578,1,1
579,1,1
580,1,1
581,1,1
582,1,1
583,2,1
584,1,1
585,1,1
586,1,1
587,1,1
588,1,1
589,1,1
590,1,1
591,1,1
592,1,1
593,1,1
594,1,1
595,1,1
596,2,1
597,2,1
598,1,1
599,1,1
600,1,1
601,1,1
602,1,1
603,1,1
604,2,1
605,3,1
606,1,1
607,1,1
608,1,1
609,1,1
610,3,1
611,1,1
612,1,1
613,1,1
614,2,1
615,1,1
616,1,1
617,1,1
618,1,1
619,1,1
620,1,1
621,1,1
622,3,1
623,1,1
624,2,1
625,1,1
626,1,1
627,1,1
628,1,1
629,1,1
630,2,1
631,2,1
632,1,1
633,2,1
634,1,1
635,1,1
636,1,1
637,1,1
638,1,1
639,1,1
640,1,1
641,1,1
642,1,1
643,1,1
644,2,1
645,1,1
646,1,1
647,1,1
648,1,1
649,1,1
650,1,1
651,1,1
652,1,1
653,1,1
654,1,1
655,2,1
656,1,1
657,1,1
658,1,1
659,1,1
660,1,1
661,1,1
662,1,1
663,1,1
664,1,1
665,1,1
666,1,1
667,2,1
668,1,1
669,1,1
670,2,1
671,1,1
672,2,1
673,2,2
674,1,1
675,1,1
676,1,1
677,1,1
678,1,1
679,1,1
680,1,1
681,1,1
682,1,1
683,1,1
684,1,1
685,1,1
686,1,1
687,1,1
688,2,1
689,1,1
690,1,1
691,1,1
692,2,1
693,2,1
694,1,1
695,1,1
696,1,1
697,1,1
698,1,1
699,1,1
700,1,1
701,1,1
702,1,1
703,1,1
704,1,1
705,1,1
706,1,1
707,1,1
708,1,1
709,1,1
710,1,1
711,1,1
712,1,1
713,1,1
714,1,1
715,1,1
716,1,1
717,1,1
718,1,1
719,1,1
720,1,1
721,1,1
722,1,1
723,1,1
724,1,1
725,1,1
726,1,1
727,1,1
728,1,1
729,1,1
730,1,1
731,1,1
732,1,1
733,1,1
734,3,1
735,1,1
736,1,1
737,3,1
738,2,1
739,1,1
740,1,1
741,1,1
742,1,1
743,1,1
744,1,1
745,1,1
746,1,1
747,1,1
748,1,1
749,1,1
750,1,1
751,1,1
752,1,1
753,1,1
754,1,1
755,1,1
756,1,1
757,2,1
758,1,1
759,1,1
760,1,1
761,1,1
762,1,1
763,2,1
764,1,1
765,1,1
766,1,1
767,1,1
768,1,1
769,1,1
770,1,1
771,1,1
772,1,1
773,2,1
774,1,1
775,3,1
776,1,1
777,1,1
778,1,1
779,1,1
780,1,1
781,1,1
782,1,1
783,1,1
784,1,1
785,1,1
786,1,1
787,1,1
788,1,1
789,1,1
790,1,1
791,1,1
792,1,1
793,1,1
794,1,1
795,1,1
796,1,1
797,1,1
798,1,1
799,1,1
800,1,1
801,1,1
802,1,1
803,1,1
804,1,1
805,1,1
